id,time_published,year,month,weekday_utc,reading_time,score,readingCount,commentsCount,favoritesCount,main_hub,language,type
12730,1185962380,2007,8,2,1,7,1542,23,1,itcompanies,ru,article
704574,1670666402,2022,12,5,6,40,4329,6,16,ruvds,ru,article
141150,1333214642,2012,3,5,2,20,1711,10,22,microformats,ru,article
105748,1286474153,2010,10,3,1,6,1170,8,5,net,ru,article
353592,1523876036,2018,4,0,1,12,8264,5,26,redmadrobot,ru,article
580814,1632979902,2021,9,3,1,10,1709,3,1,business-laws,ru,news
512292,1595572291,2020,7,4,2,10,38150,31,12,python,ru,news
215657,1394703693,2014,3,3,1,17,52729,27,277,piter,ru,article
533302,1608104820,2020,12,2,17,0,338,0,1,pvs-studio,en,article
244031,1416826990,2014,11,0,14,-5,9028,17,66,infosecurity,ru,article
46682,1228961823,2008,12,3,1,3,457,12,1,closet,ru,article
53192,1236175849,2009,3,2,1,-4,421,5,0,closet,ru,article
123229,1309544468,2011,7,4,2,0,28071,12,13,net,ru,article
74158,1257237623,2009,11,1,1,4,451,16,1,closet,ru,article
558068,1621353225,2021,5,1,5,-2,5220,0,19,it_testing,ru,article
483730,1578903903,2020,1,0,5,0,2579,5,7,hr_management,ru,article
82847,1265361050,2010,2,4,6,169,6735,250,63,flash_platform,ru,article
88803,1269446294,2010,3,2,1,14,2232,37,6,ie,ru,article
490852,1583305201,2020,3,2,11,38,43281,337,42,space,ru,article
471244,1571141223,2019,10,1,17,23,9362,19,54,wolfram,ru,article
380905,1436456621,2015,7,3,5,12,32831,24,57,ulmart,ru,article
458768,1562223375,2019,7,3,12,28,4220,0,13,oleg-bunin,ru,article
293078,1438091962,2015,7,1,4,7,4215,8,10,internetmarketing,ru,article
597921,1640509919,2021,12,6,11,11,6380,22,17,robot,ru,article
114891,1299236682,2011,3,4,2,6,554,10,6,i_am_advertising,ru,article
42794,1224506465,2008,10,0,8,143,11080,65,260,css,ru,article
212253,1392154285,2014,2,1,4,9,17925,5,13,muk,ru,article
552612,1618592925,2021,4,4,4,40,19716,105,20,selectel,ru,article
335676,1502879827,2017,8,2,4,32,44211,1,75,owasp,ru,article
393449,1462002821,2016,4,5,3,13,12790,16,31,biotech,ru,article
143261,1336071286,2012,5,3,4,29,16874,10,41,closet,ru,article
277343,1455799940,2016,2,3,11,13,55347,0,437,rambler_and_co,ru,article
